,企業名,キャッチコピー,ステータス,初年度年収
48,株式会社三鋭システム | 特許技術の独自システムが強力アシスト★最大20万円赴任補助！,【IT人材コーディネーター】★未経験OK ★残業ほぼナシ＆土日休 正社員,正社員,300万円～550万円
49,株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,【総合職】人事/営業推進/提案営業/マーケティング◆未経験歓迎 正社員,正社員,390万円～1000万円
50,株式会社ビッグモーター | ＼平均年収860万円 ◆ 年収2000万円超の実績あり／,業界No.1企業で活躍！【販売・買取スタッフ】★社会人経験者募集 正社員,正社員,330万円～1500万円
51,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◆年休最大160日◆地域限定正社員,ものづくりの【アシスタントスタッフ(メンテナンス補助等)】 正社員,正社員,
52,"サングローブ株式会社 | ★創業7期目で15,000社と直取引★年休130日/土日祝休み/残業ゼロ",外暑くない?Tシャツ＆スニーカーで年収1000万円可【内勤営業】 正社員,正社員,350万円～1000万円
53,リベラルソリューション株式会社 | 中四国支社｜様々な再生可能エネルギー事業を展開★完週休2日制,＜岡山募集＞未経験から活躍できる【営業職】★平均月収40万円★ 正社員,正社員,300万円～600万円
54,リベラルソリューション株式会社 | 京都支社｜★社会貢献性大！様々な再生可能エネルギー事業を展開,★未経験・入社1年目の平均月収40万円★【営業職】※京都募集 正社員,正社員,300万円～600万円
55,株式会社クラシアン | 未経験歓迎★日本全国に展開中！好きな街で働ける,安心して働ける&しっかり稼げる【サービススタッフ】★月9日休み 正社員,正社員,400万円～600万円
56,株式会社クラシアン | 景気に左右されない安定企業★毎年依頼件数が増加中！,年収800万円を目指せる【営業】★残業代100%＆歩合給＆手当あり 正社員,正社員,400万円～600万円
57,UTエイム株式会社 | 【東証一部上場グループ】★土日休み可能！年間休日127～190日,ものづくり工場で指導を行う【教育トレーナー】※完全週休二日制 正社員,正社員,300万円～500万円
58,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンクの【法人営業】未経験OK★高卒以上★35歳以下 正社員,正社員,
59,株式会社ワールドコーポレーション,【管理業務スタッフ】※首都圏限定※未経験歓迎 正社員,正社員,350万円～500万円
